Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
2.552	0.206	-21.949	0.109	-0.048	0.014	6918.000
1.824	0.297	-21.434	0.104	-0.040	0.012	7279.000
3.909	0.106	-20.354	0.100	-0.065	0.022	7279.000
1.912	0.140	-21.533	0.106	-0.015	0.011	7279.000
3.690	0.891	-20.264	0.106	-0.027	0.004	7775.000
5.022	0.025	-18.238	0.096	-0.081	0.048	7865.000
0.023	-0.172	-21.390	0.104	0.032	-0.006	7891.000
4.488	0.053	-20.120	0.097	-0.016	0.027	7972.000
3.300	0.207	-21.267	0.101	-0.017	0.008	8000.000
-0.034	-0.109	-19.619	0.096	-0.093	0.001	7989.000
-3.880	0.614	-20.007	0.101	-0.182	-0.005	7928.000
-6.448	1.473	-17.825	0.081	-0.207	-0.007	7870.000
-5.313	0.064	-21.177	0.116	-0.206	-0.044	7810.000
-3.373	1.785	-19.241	0.107	-0.190	0.006	7618.000
-1.985	-0.554	-18.901	0.089	-0.163	-0.031	7414.000
-4.455	-0.225	-19.522	0.091	-0.128	-0.001	7414.000
-2.158	-0.288	-17.461	0.090	-0.143	-0.031	7414.000
-3.825	-0.141	-16.493	0.090	-0.145	-0.000	6752.000
-2.764	0.215	-16.060	0.087	-0.173	-0.018	6513.000
-3.080	-0.204	-15.607	0.091	-0.162	-0.017	6061.000
-2.633	-0.549	-15.818	0.087	-0.166	0.000	5743.000
-0.947	-0.206	-15.839	0.078	-0.145	-0.018	5198.000
-2.877	-0.253	-16.526	0.085	-0.165	0.004	5059.000
-2.027	0.128	-15.061	0.078	-0.158	-0.022	4315.000
-1.212	-0.056	-14.364	0.075	-0.144	0.005	3888.000
-3.257	-0.153	-14.083	0.091	-0.217	0.010	3330.000
-2.395	-0.135	-15.233	0.088	-0.221	-0.040	2896.000
-2.884	-0.080	-15.381	0.082	-0.195	0.018	2641.000
0.342	-0.027	-15.434	0.063	-0.116	-0.026	2175.000
-1.303	0.115	-13.926	0.072	-0.208	-0.011	1774.000
-0.860	0.089	-14.326	0.080	-0.201	0.005	1566.000
-3.588	-0.522	-12.722	0.085	-0.254	-0.011	1258.000
-1.813	-0.092	-14.357	0.092	-0.221	-0.012	1003.000
-2.753	-0.236	-14.894	0.085	-0.251	0.002	698.000
0.011	0.783	-15.492	0.088	-0.256	-0.021	512.000
-1.513	0.178	-16.053	0.081	-0.254	-0.002	512.000
-2.492	1.180	-14.285	0.090	-0.219	-0.009	512.000
1.581	4.244	-16.381	0.108	-0.334	-0.046	109.000
-1.761	1.506	-14.494	0.096	-0.341	0.001	42.000
-4.953	-1.379	-19.395	0.103	-0.283	-0.017	7.000
-0.868	-0.327	-19.441	0.105	-0.289	-0.018	0.000
1.108	0.090	-18.954	0.099	-0.219	0.000	0.000
-0.691	-0.184	-19.559	0.108	-0.294	0.015	55.000
4.231	-0.312	-17.830	0.094	-0.263	0.033	157.000
-1.678	-1.993	-21.500	0.110	-0.141	-0.006	240.000
1.956	-2.449	-21.049	0.086	-0.213	0.032	441.000
5.366	1.001	-19.773	0.105	-0.225	0.008	621.000
1.198	-0.449	-21.006	0.101	-0.168	0.018	835.000
4.004	-0.241	-20.498	0.102	-0.206	0.002	915.000
1.958	0.353	-21.065	0.111	-0.171	0.014	1329.000
3.710	1.173	-21.177	0.112	-0.213	0.020	1649.000
2.266	0.147	-21.444	0.109	-0.177	0.018	2005.000
3.159	0.307	-22.104	0.109	-0.173	0.014	2254.000
3.479	0.669	-22.055	0.114	-0.140	0.011	2700.000
3.434	-0.381	-22.713	0.111	-0.147	0.016	3145.000
2.919	0.355	-22.323	0.112	-0.114	0.005	3145.000
3.826	0.181	-22.857	0.114	-0.100	0.012	4065.000
2.585	-0.031	-22.207	0.109	-0.110	0.020	4232.000
3.181	-0.165	-23.015	0.112	-0.094	0.002	4232.000
1.919	-0.213	-22.910	0.109	-0.115	0.013	5450.000
2.641	0.334	-22.034	0.108	-0.079	0.015	5772.000
2.854	-0.987	-21.126	0.104	-0.059	0.016	6303.000
2.971	0.029	-22.290	0.108	-0.043	0.019	6524.000
4.311	-0.077	-21.329	0.110	0.003	0.013	6895.000
4.146	-0.180	-22.222	0.112	-0.013	0.015	7093.000
2.584	-0.178	-21.215	0.106	0.010	0.010	7298.000
3.480	0.141	-20.375	0.103	-0.023	0.006	7529.000
2.398	-0.698	-20.932	0.101	-0.018	0.020	7702.000
0.781	-0.257	-20.243	0.095	0.005	0.008	7813.000
7.161	0.858	-19.284	0.103	-0.100	0.024	7867.000
1.194	-0.947	-22.074	0.100	0.038	-0.001	7962.000
2.624	-0.050	-19.394	0.106	-0.036	0.020	7981.000
