Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
1.613	-0.239	-20.332	0.054	0.258	0.022	7272.000
1.528	-0.280	-19.731	0.051	0.295	-0.003	7443.000
3.439	-0.322	-19.411	0.059	0.280	0.009	7589.000
1.421	-0.122	-19.538	0.064	0.309	-0.009	7725.000
-1.889	-1.104	-20.518	0.059	0.328	-0.002	7804.000
5.171	0.007	-19.277	0.064	0.333	-0.004	7804.000
3.773	-0.583	-20.771	0.064	0.319	0.017	7986.000
2.574	-0.101	-19.617	0.064	0.266	-0.006	8000.000
0.679	-0.181	-20.238	0.065	0.271	0.011	7998.000
-1.895	0.125	-18.480	0.057	0.179	-0.015	7951.000
-1.142	-0.318	-17.805	0.062	0.120	-0.000	7870.000
-4.916	-0.903	-19.677	0.058	0.217	-0.018	7746.000
-2.689	-0.027	-17.880	0.060	0.076	0.003	7568.000
-3.673	-0.397	-19.035	0.058	0.148	-0.017	7458.000
-2.658	0.112	-19.778	0.067	0.144	-0.014	7159.000
-4.052	0.257	-20.986	0.067	0.180	-0.005	7044.000
-3.758	0.570	-19.833	0.069	0.156	-0.037	6724.000
-3.093	-0.115	-20.061	0.063	0.169	0.030	6293.000
-3.345	0.208	-17.922	0.060	0.143	-0.058	5998.000
-0.081	-0.289	-15.980	0.056	0.135	0.028	5648.000
1.108	-0.975	-14.985	0.054	0.104	-0.011	5363.000
-3.765	0.052	-19.389	0.057	0.146	-0.017	5363.000
2.279	-1.170	-12.891	0.055	0.101	0.008	4487.000
0.438	-0.268	-16.007	0.058	0.143	-0.034	3875.000
-2.663	-0.083	-17.913	0.065	0.096	0.045	3595.000
2.654	-0.379	-14.114	0.048	0.067	-0.044	3153.000
-3.154	-0.052	-18.174	0.068	0.097	0.014	2562.000
0.965	0.024	-13.289	0.058	0.053	-0.021	2108.000
-0.656	-0.395	-16.709	0.053	0.071	0.005	1958.000
-0.516	-0.136	-15.024	0.072	0.046	-0.019	1472.000
0.458	-0.518	-14.271	0.054	0.066	0.016	1292.000
-2.847	0.527	-17.345	0.059	0.016	-0.012	1292.000
-1.229	-0.094	-14.300	0.050	-0.010	-0.006	678.000
-1.452	-0.304	-16.400	0.065	0.011	-0.003	586.000
-1.496	-0.434	-18.108	0.062	0.019	-0.006	347.000
-0.064	0.740	-19.118	0.068	-0.051	-0.001	205.000
-3.303	0.376	-22.463	0.079	-0.018	-0.020	108.000
-3.777	-1.082	-21.118	0.059	-0.020	-0.007	108.000
-0.541	0.388	-20.633	0.077	0.038	-0.031	2.000
-2.002	-0.637	-21.053	0.079	0.032	-0.005	0.000
-0.064	-0.492	-18.687	0.062	0.034	-0.012	17.000
3.403	-0.041	-18.250	0.060	0.068	0.010	69.000
6.495	-0.020	-18.656	0.066	0.133	0.007	89.000
3.333	-1.002	-22.093	0.070	0.115	0.003	256.000
5.886	-0.603	-18.278	0.075	0.197	0.004	425.000
5.245	-0.616	-21.664	0.082	0.187	0.020	557.000
4.102	-0.564	-19.461	0.073	0.166	-0.007	757.000
4.584	0.016	-19.432	0.067	0.170	0.006	949.000
3.661	-0.346	-19.716	0.071	0.178	0.023	1332.000
4.715	-0.292	-20.405	0.068	0.169	0.009	1614.000
3.818	-0.237	-20.127	0.069	0.202	-0.012	1960.000
4.100	-0.226	-21.439	0.072	0.188	0.040	2289.000
4.952	-0.264	-23.024	0.067	0.233	-0.008	2642.000
2.485	-0.067	-22.353	0.078	0.251	0.015	2980.000
4.636	-0.215	-22.593	0.073	0.245	0.000	3649.000
3.190	-0.618	-22.331	0.071	0.266	0.010	3975.000
5.550	-0.047	-22.610	0.072	0.321	-0.020	3975.000
3.964	-0.261	-23.279	0.079	0.279	0.064	4825.000
3.688	-0.362	-23.500	0.076	0.287	-0.036	5431.000
2.806	-0.001	-21.715	0.069	0.283	0.038	5826.000
3.398	-0.148	-20.671	0.068	0.278	0.004	6065.000
