Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
4.707	0.085	-22.107	0.074	0.372	0.003	8000.000
3.644	-0.342	-23.960	0.079	0.390	0.021	8000.000
4.907	-0.473	-23.472	0.072	0.388	-0.007	8000.000
4.380	-0.425	-23.551	0.080	0.389	0.021	8000.000
4.122	-0.502	-23.399	0.074	0.378	-0.001	8000.000
2.967	-0.329	-23.502	0.081	0.348	0.009	7998.000
-1.155	-0.198	-23.510	0.083	0.248	-0.004	7943.000
-7.627	-0.200	-24.048	0.062	0.269	-0.038	7889.000
0.792	0.747	-21.921	0.071	0.140	0.000	7754.000
-3.235	-1.099	-21.423	0.075	0.242	-0.031	7715.000
-1.041	-0.059	-21.180	0.085	0.206	-0.006	7715.000
-6.750	-0.710	-23.413	0.077	0.171	-0.042	7715.000
-4.226	-0.464	-19.487	0.081	0.115	-0.013	7019.000
-6.286	-0.362	-20.775	0.081	0.103	-0.027	6877.000
-5.468	-0.311	-19.626	0.074	0.106	-0.035	6575.000
-5.138	0.320	-19.783	0.061	0.114	0.006	6575.000
-4.688	-0.232	-19.974	0.062	0.116	-0.051	6575.000
-4.716	0.221	-19.967	0.072	0.129	-0.005	5319.000
-1.796	-0.024	-15.108	0.055	0.077	-0.004	5319.000
-0.874	-0.615	-16.005	0.051	0.108	-0.016	5319.000
-2.116	0.199	-17.074	0.062	0.105	0.008	4115.000
2.067	-0.193	-12.673	0.043	0.077	-0.056	3534.000
-2.126	-0.321	-16.461	0.065	0.071	0.048	3425.000
0.673	0.064	-11.848	0.037	0.092	-0.037	3425.000
1.986	-0.942	-12.983	0.062	0.065	0.006	3425.000
-2.718	0.459	-15.440	0.042	0.044	-0.000	1842.000
-0.400	-0.415	-11.785	0.050	0.035	-0.017	1551.000
-2.753	-0.750	-12.053	0.045	-0.022	-0.019	1254.000
-2.603	0.298	-14.050	0.044	0.006	0.015	1105.000
-3.276	-0.351	-13.492	0.042	-0.025	-0.041	739.000
-0.549	-0.105	-11.928	0.051	0.013	0.021	570.000
-2.303	-0.220	-15.547	0.053	0.016	-0.021	509.000
-0.507	0.062	-15.344	0.054	0.012	-0.004	509.000
0.007	0.309	-13.281	0.053	0.016	-0.007	509.000
-3.539	-0.074	-17.885	0.061	0.011	-0.018	48.000
-3.311	-0.414	-15.994	0.061	-0.063	-0.016	34.000
-1.600	0.231	-15.273	0.045	-0.021	0.002	34.000
-3.099	-0.286	-15.851	0.053	-0.015	-0.011	34.000
-1.357	-0.136	-17.497	0.062	0.003	-0.004	0.000
2.072	-0.369	-18.127	0.064	0.105	-0.012	30.000
0.827	-0.927	-18.722	0.082	0.035	0.010	93.000
-1.941	-0.163	-18.370	0.064	0.156	-0.018	93.000
3.147	0.899	-17.223	0.065	0.099	0.003	93.000
1.030	-0.326	-20.951	0.067	0.181	-0.006	394.000
5.039	-0.136	-19.476	0.065	0.153	0.018	523.000
5.568	-0.670	-21.374	0.068	0.201	0.017	523.000
6.267	-0.383	-20.945	0.069	0.233	0.005	523.000
7.483	-0.218	-21.417	0.067	0.254	0.030	1348.000
