Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
0.636	3.178	-23.501	0.036	0.056	0.005	0.000
0.536	3.185	-23.394	0.035	0.054	0.006	0.000
0.563	3.162	-23.208	0.035	0.054	0.005	0.000
0.586	3.154	-23.209	0.035	0.056	0.005	0.000
0.635	3.155	-23.183	0.035	0.057	0.005	0.000
0.617	3.136	-23.170	0.035	0.057	0.005	0.000
0.590	3.153	-23.152	0.035	0.056	0.005	0.000
0.560	3.165	-23.107	0.035	0.055	0.005	0.000
0.567	3.138	-23.034	0.034	0.054	0.005	0.000
0.593	3.149	-23.046	0.034	0.055	0.005	0.000
0.607	3.145	-22.976	0.035	0.056	0.005	0.000
0.595	3.135	-23.058	0.034	0.056	0.005	425.000
0.575	3.138	-23.031	0.034	0.056	0.005	425.000
1.941	2.970	-22.902	0.033	0.093	0.009	1.000
-0.424	2.049	-22.490	0.067	0.061	0.001	12.000
3.218	1.729	-21.844	0.052	0.086	0.023	39.000
3.116	1.460	-22.058	0.074	0.207	0.016	39.000
12.904	1.207	-20.589	0.076	0.293	0.056	262.000
10.596	-0.439	-21.589	0.081	0.340	0.046	461.000
13.191	0.188	-21.336	0.090	0.322	0.054	630.000
13.309	0.676	-19.745	0.094	0.339	0.044	856.000
12.032	0.082	-21.843	0.091	0.312	0.069	1154.000
12.076	0.069	-21.967	0.112	0.335	0.046	1154.000
12.481	-0.021	-22.800	0.109	0.346	0.070	1154.000
12.699	-0.053	-21.757	0.103	0.358	0.048	2110.000
14.976	-0.129	-20.523	0.104	0.355	0.080	2110.000
13.576	-0.132	-18.766	0.100	0.379	0.046	2962.000
14.226	-0.149	-17.588	0.094	0.384	0.066	3399.000
15.200	0.088	-18.002	0.092	0.375	0.062	3399.000
16.184	-0.225	-16.128	0.104	0.387	0.058	3399.000
15.171	0.246	-16.470	0.095	0.388	0.079	3399.000
14.057	-0.061	-16.434	0.102	0.395	0.069	3399.000
16.206	-0.158	-14.341	0.100	0.403	0.020	5642.000
15.828	-0.170	-13.891	0.100	0.405	0.114	5884.000
16.767	-0.565	-13.293	0.097	0.408	0.051	6137.000
17.141	-0.051	-12.845	0.097	0.409	0.058	6137.000
17.652	-0.190	-11.506	0.101	0.416	0.087	6933.000
17.124	-0.308	-12.999	0.104	0.409	0.042	7099.000
16.497	-0.155	-12.470	0.110	0.415	0.082	7404.000
15.826	-0.483	-14.199	0.113	0.404	0.070	7524.000
18.103	-0.146	-10.360	0.109	0.424	0.085	7524.000
11.389	-1.194	-14.439	0.118	0.428	0.043	7832.000
8.765	-2.155	-18.616	0.100	0.407	0.056	7832.000
8.453	-0.358	-17.735	0.122	0.416	0.016	7832.000
8.223	-0.606	-21.362	0.116	0.385	0.061	7832.000
7.388	0.003	-22.084	0.116	0.384	0.024	8000.000
5.180	-0.214	-23.683	0.126	0.382	0.032	7989.000
0.253	-0.200	-27.543	0.124	0.350	0.009	7989.000
-4.153	-0.349	-27.223	0.120	0.214	-0.017	7989.000
-3.871	1.823	-25.102	0.100	0.191	0.004	7727.000
-12.596	2.070	-27.978	0.084	0.045	-0.046	7664.000
-14.174	0.945	-25.824	0.115	-0.028	-0.041	7553.000
-8.843	-0.149	-23.736	0.119	0.025	-0.055	7553.000
-10.526	-0.045	-24.725	0.120	0.027	-0.035	6950.000
-7.244	-0.832	-21.539	0.120	0.003	-0.036	6695.000
-12.093	0.934	-23.532	0.128	0.063	-0.060	6519.000
-8.012	-0.211	-20.259	0.113	0.060	-0.033	6519.000
0.956	-1.995	-18.969	0.108	0.045	-0.038	6519.000
-3.917	0.178	-19.564	0.115	0.095	-0.030	5413.000
-8.763	0.683	-20.614	0.112	0.114	-0.052	4923.000
-8.233	-0.052	-23.489	0.098	0.115	-0.047	4923.000
-4.104	0.464	-23.999	0.111	0.112	-0.037	4923.000
-6.543	0.849	-23.135	0.105	0.104	-0.019	4923.000
-4.682	0.617	-22.932	0.104	0.087	-0.029	4923.000
-8.878	0.737	-23.064	0.101	0.050	-0.013	4923.000
-6.085	1.145	-21.890	0.094	0.030	-0.047	2151.000
-9.672	1.179	-20.958	0.096	-0.021	-0.012	1819.000
-8.439	0.880	-18.203	0.077	-0.046	-0.041	1710.000
