Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
3.103	-0.582	-20.169	0.120	0.334	0.001	8000.000
2.603	0.234	-21.451	0.119	0.315	0.009	8000.000
2.847	-0.742	-19.390	0.134	0.254	-0.017	7932.000
0.799	0.183	-19.545	0.132	0.228	-0.021	7867.000
0.510	-0.043	-20.039	0.117	0.196	-0.022	7714.000
-3.647	-0.798	-17.279	0.120	0.144	-0.013	7680.000
-2.169	0.186	-17.805	0.118	0.139	-0.020	7680.000
-5.392	-0.706	-19.076	0.111	0.175	-0.025	7179.000
-2.432	0.142	-18.953	0.114	0.122	-0.016	7022.000
-3.565	-0.124	-19.586	0.119	0.112	0.008	6727.000
-2.216	-0.115	-17.137	0.106	0.130	-0.030	6727.000
-2.497	-0.005	-16.884	0.108	0.135	-0.024	6000.000
-1.569	0.177	-16.687	0.111	0.106	-0.008	5647.000
-2.905	-0.665	-17.121	0.111	0.078	-0.021	5490.000
-3.242	-0.513	-15.902	0.093	0.084	-0.000	5034.000
-0.845	0.074	-16.758	0.102	0.079	-0.020	5034.000
-2.023	-0.752	-15.422	0.101	0.063	-0.053	3817.000
-3.062	-0.162	-16.237	0.096	0.028	-0.009	3562.000
-2.688	0.216	-16.500	0.097	0.058	0.053	3102.000
-0.311	-0.731	-15.476	0.101	0.070	-0.097	3102.000
-1.039	-0.770	-14.948	0.097	0.049	0.012	2169.000
-1.091	0.034	-15.952	0.104	0.055	-0.004	1832.000
-3.088	-0.965	-17.255	0.114	0.009	-0.024	1832.000
-3.798	0.113	-16.281	0.103	-0.025	-0.018	1150.000
-5.050	0.098	-15.771	0.100	-0.034	-0.025	891.000
-5.016	0.013	-16.376	0.105	-0.046	-0.002	690.000
-2.861	0.021	-17.061	0.109	-0.050	-0.031	537.000
-3.057	0.598	-19.470	0.120	-0.019	0.007	366.000
-5.295	0.215	-20.622	0.124	-0.022	-0.035	210.000
2.896	1.359	-18.994	0.135	-0.065	-0.011	104.000
-6.266	-0.897	-22.748	0.130	0.024	-0.024	32.000
1.115	0.206	-20.844	0.139	0.030	-0.034	7.000
-0.447	-0.362	-22.611	0.144	0.042	-0.007	7.000
-1.395	-0.014	-20.725	0.134	0.031	-0.016	2.000
0.816	-0.117	-21.403	0.131	0.073	-0.007	19.000
-0.620	-0.196	-21.067	0.129	-0.020	0.020	55.000
-1.654	0.244	-18.734	0.119	0.141	-0.008	55.000
3.128	0.609	-18.742	0.138	0.047	0.041	300.000
-1.824	0.072	-21.725	0.127	0.116	-0.009	424.000
2.633	0.096	-18.990	0.118	0.085	0.008	607.000
0.782	-0.158	-21.112	0.127	0.103	0.041	891.000
2.376	-0.226	-20.113	0.127	0.120	-0.001	1108.000
2.792	-0.210	-22.159	0.132	0.133	0.017	1352.000
2.501	-0.352	-20.464	0.126	0.148	-0.000	1712.000
2.742	-0.042	-21.052	0.134	0.188	0.042	1799.000
3.819	-0.496	-20.992	0.131	0.178	-0.012	1799.000
4.120	-0.021	-21.909	0.141	0.209	0.016	2743.000
2.492	-0.160	-22.593	0.140	0.228	0.035	3338.000
6.514	-0.136	-22.578	0.140	0.254	0.013	3338.000
2.119	-0.001	-22.888	0.159	0.263	-0.012	3338.000
3.145	0.364	-23.487	0.135	0.268	0.084	4735.000
5.286	-0.524	-23.426	0.145	0.333	0.001	4996.000
3.515	-0.755	-23.937	0.145	0.305	-0.032	5405.000
5.724	-0.386	-23.488	0.142	0.342	0.075	5405.000
2.326	-0.297	-23.841	0.148	0.297	-0.044	6273.000
0.738	-0.332	-21.523	0.133	0.228	0.020	6481.000
0.181	0.073	-21.272	0.135	0.243	0.052	6873.000
0.441	-0.563	-22.407	0.131	0.261	0.015	7133.000
0.870	-0.161	-21.373	0.129	0.283	0.013	7133.000
2.287	-0.225	-20.996	0.130	0.297	0.037	7133.000
3.099	-0.072	-21.288	0.136	0.299	0.007	7701.000
1.474	-1.345	-22.400	0.125	0.340	0.007	7777.000
3.914	-0.591	-19.668	0.127	0.318	0.019	7873.000
5.787	-0.224	-22.141	0.128	0.308	-0.011	7974.000
2.146	-0.692	-19.034	0.123	0.287	0.027	7987.000
2.981	-0.035	-18.649	0.117	0.311	0.000	7999.000
-2.291	-0.125	-20.014	0.118	0.198	0.006	7978.000
-0.420	-0.270	-18.042	0.110	0.345	-0.025	7978.000
2.012	-0.391	-20.613	0.130	0.167	-0.009	7846.000
-2.701	-0.667	-21.717	0.116	0.280	-0.024	7682.000
2.964	-0.485	-17.627	0.117	0.226	-0.022	7682.000
-0.499	-0.087	-20.785	0.123	0.187	-0.016	7682.000
-2.524	-0.657	-17.265	0.112	0.213	-0.008	7125.000
-1.744	0.143	-17.078	0.111	0.131	-0.045	6983.000
-2.906	-0.138	-16.738	0.107	0.146	0.006	6632.000
-2.874	0.068	-17.087	0.103	0.109	-0.040	6312.000
-2.280	-0.274	-16.255	0.103	0.107	0.004	6102.000
-2.023	0.241	-17.043	0.109	0.098	-0.009	5546.000
-1.192	-0.567	-15.545	0.100	0.110	-0.032	5170.000
-3.478	0.194	-16.324	0.109	0.056	-0.021	5170.000
-1.868	0.057	-13.694	0.092	0.088	-0.015	4284.000
-1.837	0.067	-15.929	0.110	0.061	0.034	3747.000
-1.574	-0.100	-16.805	0.106	0.077	-0.083	3747.000
-2.451	-0.202	-15.348	0.100	0.017	0.030	3747.000
