Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-1.081	-0.516	-23.446	0.431	0.066	-0.077	7913.000
0.978	0.110	-23.402	0.417	0.004	-0.027	7827.000
0.696	0.090	-23.760	0.418	0.019	-0.022	7720.000
-2.299	-0.261	-22.825	0.403	0.029	-0.044	7518.000
-1.522	0.025	-23.006	0.406	-0.007	-0.039	7340.000
-1.261	0.043	-22.419	0.403	-0.047	-0.018	7079.000
-2.778	-0.316	-22.002	0.390	-0.066	-0.031	6881.000
-2.722	0.363	-20.831	0.390	-0.057	-0.035	6682.000
-2.581	-0.376	-21.722	0.387	-0.078	-0.035	6191.000
-2.263	-0.135	-20.343	0.388	-0.064	-0.030	5879.000
-2.021	-0.502	-22.462	0.395	-0.069	-0.040	5763.000
-2.246	-0.103	-19.757	0.378	-0.079	-0.053	5763.000
-1.803	0.171	-19.467	0.363	-0.073	-0.046	4595.000
-1.115	-0.204	-19.054	0.350	-0.093	-0.036	4187.000
-3.305	-0.068	-19.867	0.360	-0.147	-0.027	3609.000
-0.673	-0.075	-19.658	0.364	-0.113	-0.034	3242.000
-2.797	-0.055	-18.032	0.362	-0.174	-0.025	2740.000
-2.229	-0.638	-18.966	0.375	-0.151	-0.038	2400.000
-2.633	0.126	-20.801	0.386	-0.198	-0.027	2028.000
-2.148	-0.575	-19.672	0.384	-0.176	-0.022	1670.000
-2.388	-0.202	-20.111	0.400	-0.189	-0.038	1580.000
-2.273	-0.314	-19.938	0.386	-0.186	-0.027	1580.000
-1.448	-0.081	-18.934	0.375	-0.176	-0.036	802.000
-0.390	0.203	-21.417	0.399	-0.197	-0.028	685.000
-0.968	0.470	-21.673	0.390	-0.215	-0.028	419.000
-0.694	1.360	-21.259	0.405	-0.205	-0.037	295.000
-4.637	-1.071	-25.027	0.403	-0.154	-0.038	180.000
0.263	2.700	-23.197	0.410	-0.205	-0.050	117.000
-4.270	-0.157	-24.677	0.403	-0.193	0.001	117.000
0.354	1.688	-23.075	0.408	-0.241	-0.037	0.000
2.256	1.044	-24.835	0.405	-0.087	0.004	8.000
3.089	1.349	-25.220	0.419	-0.026	0.049	72.000
0.958	1.609	-27.782	0.434	-0.006	0.025	150.000
7.370	3.391	-25.729	0.449	-0.132	0.014	175.000
0.815	1.983	-27.226	0.445	-0.089	0.050	175.000
4.386	1.944	-27.483	0.459	-0.060	0.035	517.000
3.495	1.184	-29.102	0.462	-0.046	0.062	747.000
3.021	1.164	-27.054	0.464	-0.017	0.036	976.000
2.615	0.697	-27.299	0.474	-0.021	0.041	1337.000
2.952	0.557	-26.429	0.474	-0.005	0.049	1518.000
3.066	-0.548	-27.473	0.482	0.002	0.065	1893.000
3.944	-0.161	-27.804	0.494	0.024	0.060	2292.000
3.258	0.267	-29.032	0.497	0.043	0.084	2495.000
3.680	0.359	-27.226	0.498	0.084	0.020	3004.000
2.498	-0.627	-28.031	0.493	0.050	0.068	3265.000
1.849	0.708	-29.325	0.511	0.095	0.051	4045.000
4.919	1.077	-29.349	0.509	0.106	0.043	4443.000
2.413	0.905	-30.345	0.518	0.075	0.092	5000.000
3.726	0.594	-29.902	0.504	0.150	0.058	5339.000
2.590	0.702	-29.118	0.506	0.142	0.053	5829.000
4.424	0.497	-29.202	0.498	0.196	0.044	5829.000
4.137	0.534	-30.437	0.511	0.204	0.052	5829.000
4.216	0.414	-29.265	0.507	0.225	0.045	6791.000
4.246	0.095	-29.806	0.504	0.215	0.058	7003.000
3.919	0.615	-29.444	0.498	0.209	0.048	7208.000
3.274	0.485	-28.633	0.511	0.231	0.041	7335.000
2.796	0.251	-28.136	0.489	0.164	0.050	7663.000
2.846	0.962	-26.135	0.474	0.186	0.021	7786.000
4.911	0.203	-27.043	0.459	0.125	0.088	7870.000
1.652	-0.527	-24.901	0.455	0.232	0.017	7940.000
3.713	0.388	-25.779	0.449	0.104	0.029	7990.000
1.207	-0.553	-24.204	0.448	0.148	0.019	7990.000
1.057	-0.471	-23.645	0.437	0.107	-0.003	7998.000
-2.842	-0.949	-22.234	0.431	0.019	-0.029	7989.000
1.003	-0.036	-22.902	0.430	0.027	0.012	7913.000
2.084	0.246	-24.629	0.422	-0.034	-0.010	7832.000
-2.303	-0.548	-22.813	0.411	0.032	-0.063	7652.000
-0.713	0.376	-21.758	0.411	-0.017	-0.004	7496.000
-2.299	-0.192	-22.936	0.399	-0.057	-0.014	7331.000
-3.240	-0.176	-22.524	0.403	-0.036	-0.071	7071.000
-1.891	0.228	-22.537	0.406	-0.047	-0.015	6896.000
